"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.529999971E-1,1.684999943E0,9.194000244E0
1.000000000E0,-2.290000021E-1,1.340000033E0,9.692000389E0
2.000000000E0,-1.529999971E-1,1.340000033E0,9.692000389E0
3.000000000E0,-1.140000001E-1,1.225000024E0,9.500000000E0
4.000000000E0,-3.799999878E-2,1.187000036E0,9.652999878E0
5.000000000E0,-1.909999996E-1,1.455000043E0,9.729999542E0
6.000000000E0,7.599999756E-2,1.149000049E0,9.920999527E0
7.000000000E0,-1.140000001E-1,1.264000058E0,9.538000107E0
8.000000000E0,-2.680000067E-1,1.417000055E0,9.692000389E0
9.000000000E0,-3.440000117E-1,1.378999949E0,9.807000160E0
1.000000000E1,-2.290000021E-1,1.455000043E0,9.461999893E0
1.100000000E1,-1.909999996E-1,1.225000024E0,9.692000389E0
1.200000000E1,-3.799999878E-2,1.264000058E0,9.767999649E0
1.300000000E1,-3.799999878E-2,1.072000027E0,9.998000145E0
1.400000000E1,-1.140000001E-1,1.187000036E0,9.920999527E0
1.500000000E1,-1.909999996E-1,1.264000058E0,9.461999893E0
1.600000000E1,7.599999756E-2,1.072000027E0,9.692000389E0
1.700000000E1,-1.140000001E-1,1.340000033E0,9.576999664E0
1.800000000E1,-1.529999971E-1,1.302000046E0,9.500000000E0
1.900000000E1,-1.909999996E-1,1.225000024E0,9.652999878E0
2.000000000E1,-1.909999996E-1,1.455000043E0,9.385000229E0
2.100000000E1,-2.680000067E-1,9.570000172E-1,9.807000160E0
2.200000000E1,-9.570000172E-1,4.210000038E-1,9.998000145E0
2.300000000E1,-7.599999756E-2,2.029999971E0,8.656999588E0
2.400000000E1,-2.290000021E-1,-5.360000134E-1,8.619000435E0
2.500000000E1,1.529999971E-1,4.210000038E-1,9.079000473E0
2.600000000E1,-4.979999959E-1,2.298000097E0,1.222000027E1
2.700000000E1,-1.909999996E-1,2.144999981E0,8.887000084E0
2.800000000E1,2.290000021E-1,1.914999962E0,7.163000107E0
2.900000000E1,-7.659999728E-1,6.510000229E-1,9.079000473E0
3.000000000E1,-1.646999955E0,-3.829999864E-1,1.022799969E1
