"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,-1.193201000E1,-7.707742667E1,9.467505705E1,0.000000000E0,1.012600021E2,1.189999962E1,0.000000000E0
1.007100693E0,-1.193187833E1,-7.707741000E1,9.467424662E1,5.574441552E-1,2.732200012E2,9.000000000E0,0.000000000E0
2.005189924E0,-1.193193167E1,-7.707739667E1,9.497435152E1,1.266216636E-1,3.035299988E2,6.800000191E0,0.000000000E0
3.309933001E0,-1.193196667E1,-7.707740167E1,9.527457328E1,1.652258337E-1,4.215999985E1,5.800000191E0,0.000000000E0
4.316345847E0,-1.193199000E1,-7.707742167E1,9.497490650E1,1.075769439E-1,2.037100067E2,5.099999905E0,0.000000000E0
5.309261078E0,-1.193200833E1,-7.707743000E1,9.487508622E1,0.000000000E0,1.336300049E2,4.599999905E0,0.000000000E0
6.309514385E0,-1.193201833E1,-7.707743667E1,9.477520784E1,0.000000000E0,2.123600006E2,4.300000191E0,0.000000000E0
7.304247924E0,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,4.000000000E0,0.000000000E0
8.307929539E0,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.799999952E0,0.000000000E0
9.310696385E0,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.700000048E0,0.000000000E0
1.031295877E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.599999905E0,0.000000000E0
1.130920877E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.500000000E0,0.000000000E0
1.231486269E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.500000000E0,0.000000000E0
1.331645392E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.400000095E0,0.000000000E0
1.430925308E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.299999952E0,0.000000000E0
1.531323669E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.299999952E0,0.000000000E0
1.631447016E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.299999952E0,0.000000000E0
1.730937023E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.200000048E0,0.000000000E0
1.831213423E1,-1.193202167E1,-7.707743500E1,9.477520512E1,0.000000000E0,1.405599976E2,3.200000048E0,0.000000000E0
